Time,ROOM 2::Des Heat Load [W],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 2::Des Heat Mass Flow [kg/s],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 2::Des Latent Heat Load [W],ROOM 2::Des Latent Cool Load [W],ROOM 2::Des Latent Heat Mass Flow [kg/s],ROOM 2::Des Latent Cool Mass Flow [kg/s],ROOM 2::Des Heat Load No DOAS [W],ROOM 2::Des Sens Cool Load No DOAS [W],ROOM 2::Des Latent Heat Load No DOAS [W],ROOM 2::Des Latent Cool Load No DOAS [W],ROOM 2::Heating Zone Temperature [C],ROOM 2::Heating Zone Relative Humidity [%],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ROOM 3::Des Heat Load [W],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 3::Des Heat Mass Flow [kg/s],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 3::Des Latent Heat Load [W],ROOM 3::Des Latent Cool Load [W],ROOM 3::Des Latent Heat Mass Flow [kg/s],ROOM 3::Des Latent Cool Mass Flow [kg/s],ROOM 3::Des Heat Load No DOAS [W],ROOM 3::Des Sens Cool Load No DOAS [W],ROOM 3::Des Latent Heat Load No DOAS [W],ROOM 3::Des Latent Cool Load No DOAS [W],ROOM 3::Heating Zone Temperature [C],ROOM 3::Heating Zone Relative Humidity [%],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:50:00,0.000000E+00,3.540822E+02,0.000000E+00,2.732840E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669462E+01,5.918046E+01,0.000000E+00,3.598561E+02,0.000000E+00,2.777417E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669456E+01,5.900982E+01
02:00:00,0.000000E+00,3.514444E+02,0.000000E+00,2.712474E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669465E+01,5.924267E+01,0.000000E+00,3.571407E+02,0.000000E+00,2.756452E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669459E+01,5.907349E+01
02:10:00,0.000000E+00,3.486423E+02,0.000000E+00,2.690841E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669469E+01,5.931291E+01,0.000000E+00,3.542628E+02,0.000000E+00,2.734233E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669463E+01,5.914505E+01
02:20:00,0.000000E+00,3.457088E+02,0.000000E+00,2.668193E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669472E+01,5.938890E+01,0.000000E+00,3.512548E+02,0.000000E+00,2.711009E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669467E+01,5.922224E+01
02:30:00,0.000000E+00,3.426654E+02,0.000000E+00,2.644696E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669475E+01,5.946940E+01,0.000000E+00,3.481378E+02,0.000000E+00,2.686945E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669470E+01,5.930384E+01
02:40:00,0.000000E+00,3.395364E+02,0.000000E+00,2.620540E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669479E+01,5.955403E+01,0.000000E+00,3.449359E+02,0.000000E+00,2.662225E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669473E+01,5.938947E+01
02:50:00,0.000000E+00,3.363383E+02,0.000000E+00,2.595850E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669483E+01,5.964282E+01,0.000000E+00,3.416655E+02,0.000000E+00,2.636977E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669477E+01,5.947919E+01
03:00:00,0.000000E+00,3.330898E+02,0.000000E+00,2.570771E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669486E+01,5.973577E+01,0.000000E+00,3.383451E+02,0.000000E+00,2.611343E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669481E+01,5.957302E+01
03:10:00,0.000000E+00,3.297362E+02,0.000000E+00,2.544881E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669490E+01,5.983284E+01,0.000000E+00,3.349200E+02,0.000000E+00,2.584900E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669485E+01,5.967089E+01
03:20:00,0.000000E+00,3.262926E+02,0.000000E+00,2.518297E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669494E+01,5.993386E+01,0.000000E+00,3.314050E+02,0.000000E+00,2.557764E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669489E+01,5.977268E+01
